b'!T.O.O.H.!',http://metalstorm.net/bands/band.php?band_id=593&bandname=%21T.O.O.H.%21
b'\xe3\x80\x87',http://metalstorm.net/bands/band.php?band_id=8912&bandname=%26%2312295%3B
b'\xce\xa8\xcf\x85\xce\xbf\xce\xbd\xce\xbe\xce\xb7\xce\xb5',http://metalstorm.net/bands/band.php?band_id=8249&bandname=%26%23936%3B%26%23965%3B%26%23959%3B%26%23957%3B%26%23958%3B%26%23951%3B%26%23949%3B
b'\xc3\x81rst\xc3\xad\xc3\xb0ir L\xc3\xadfsins',http://metalstorm.net/bands/band.php?band_id=5241&bandname=%26Aacute%3Brst%26iacute%3B%26eth%3Bir+L%26iacute%3Bfsins
b'\xc3\x81smegin',http://metalstorm.net/bands/band.php?band_id=3408&bandname=%26Aacute%3Bsmegin
b'\xc3\x86GES',http://metalstorm.net/bands/band.php?band_id=7605&bandname=%26AElig%3BGES
b'\xc3\x86nimus (SWE)',http://metalstorm.net/bands/band.php?band_id=8109&bandname=%26AElig%3Bnimus+%28SWE%29
b'\xc3\x86ther Realm',http://metalstorm.net/bands/band.php?band_id=7593&bandname=%26AElig%3Bther+Realm
b'\xc3\x86vangelist',http://metalstorm.net/bands/band.php?band_id=7401&bandname=%26AElig%3Bvangelist
b'\xc3\x80rsaidh',http://metalstorm.net/bands/band.php?band_id=9719&bandname=%26Agrave%3Brsaidh
b'\xc3\x89glise',http://metalstorm.net/bands/band.php?band_id=9411&bandname=%26Eacute%3Bglise
b'\xc3\x98rkenkj\xc3\xb8tt',http://metalstorm.net/bands/band.php?band_id=3965&bandname=%26Oslash%3Brkenkj%26oslash%3Btt
b'\xc3\x96-Nirik',http://metalstorm.net/bands/band.php?band_id=3389&bandname=%26Ouml%3B-Nirik
b'\xc3\x96mheten',http://metalstorm.net/bands/band.php?band_id=8464&bandname=%26Ouml%3Bmheten
b'\xc3\x96xx\xc3\xb6 X\xc3\xb6\xc3\xb6x',http://metalstorm.net/bands/band.php?band_id=7246&bandname=%26Ouml%3Bxx%26ouml%3B+X%26ouml%3B%26ouml%3Bx
b'(EchO)',http://metalstorm.net/bands/band.php?band_id=7061&bandname=%28EchO%29
b'(In)Trance',http://metalstorm.net/bands/band.php?band_id=7614&bandname=%28In%29Trance
b'(V.E.G.A.)',http://metalstorm.net/bands/band.php?band_id=7555&bandname=%28V.E.G.A.%29
b'...And Oceans',http://metalstorm.net/bands/band.php?band_id=355&bandname=...And+Oceans
b'0 X \xc3\xad S T',http://metalstorm.net/bands/band.php?band_id=7513&bandname=0+X+%26iacute%3B+S+T
